text,category,author,source_type,sentiment,text_length,word_count,has_number,contains_ai,day_posted,month_posted,read_time_min
Tech conference held online,technology,Rahul,report,positive,27,4,0,0,14,9,1.2
Scientists discover new planet,technology,Maria,news,neutral,30,4,0,0,27,5,1.2
Software update improves security,technology,Maria,social,neutral,33,4,0,0,1,12,1.2
Internet speed improved nationwide,technology,Li,blog,positive,34,4,0,0,13,9,1.2
College sports day organized,sports,Kumar,news,positive,28,4,0,0,30,3,1.2
Cloud computing trends in 2025,technology,Sara,blog,positive,30,5,1,0,22,10,1.5
Swimming competition ends,sports,Arun,report,negative,25,3,0,0,16,11,0.9
Researchers develop quantum algorithm,technology,Kumar,report,neutral,37,4,0,0,29,11,1.2
Budget session begins today,technology,Li,press,negative,27,4,0,0,19,8,1.2
New vaccine research successful,technology,Maria,report,neutral,31,4,0,0,30,2,1.2
Cyber attack affects banking sector,technology,Maria,social,positive,35,5,0,0,11,9,1.5
Stadium renovated for world cup,sports,Priya,blog,negative,31,5,0,0,13,10,1.5
Elections results declared yesterday,politics,Kumar,social,neutral,36,4,0,0,21,10,1.2
Baseball match postponed due to rain,sports,Rahul,report,neutral,36,6,0,1,19,3,1.8
Cloud computing trends in 2025,technology,Maria,press,positive,30,5,1,0,26,11,1.5
Space mission launched,technology,Li,blog,positive,22,3,0,0,6,11,0.9
Tech conference held online,technology,Arun,press,negative,27,4,0,0,29,11,1.2
Robotics automation in factories,technology,John,social,neutral,32,4,0,0,15,12,1.2
Football coach resigns,sports,Kumar,press,positive,22,3,0,0,17,8,0.9
Badminton star wins gold,sports,John,report,positive,24,4,0,0,7,7,1.2
Prime minister visits neighboring country,politics,Li,report,neutral,41,5,0,0,20,6,1.5
Budget session begins today,technology,Sara,press,neutral,27,4,0,0,30,7,1.2
Cloud computing trends in 2025,technology,Li,news,positive,30,5,1,0,23,4,1.5
Baseball match postponed due to rain,sports,John,report,positive,36,6,0,1,26,3,1.8
Baseball match postponed due to rain,sports,Kumar,social,neutral,36,6,0,1,14,12,1.8
Parliament session delayed,politics,Sara,news,positive,26,3,0,0,30,10,0.9
Swimming competition ends,sports,Maria,blog,positive,25,3,0,0,29,9,0.9
Internet speed improved nationwide,technology,Rahul,social,negative,34,4,0,0,21,5,1.2
New laptop series released,technology,Ali,report,neutral,26,4,0,0,29,3,1.2
Baseball match postponed due to rain,sports,Ali,news,neutral,36,6,0,1,7,8,1.8
Prime minister visits neighboring country,politics,Rahul,news,negative,41,5,0,0,10,7,1.5
Stadium renovated for world cup,sports,Maria,report,negative,31,5,0,0,18,2,1.5
Baseball match postponed due to rain,sports,Ali,report,negative,36,6,0,1,12,12,1.8
